column,total,missing,missing_pct
pos_cont_type,1067313,1067313,1
materialSampleID,1067313,1067313,1
sample_derived_from,1067313,1067313,1
sample_composed_of,1067313,1067313,1
rel_cont_id,1067313,1067313,1
biological_rep_relation,1067313,1067313,1
verbatimSRS,1067313,1067313,1
eventDurationValue,1067313,1067313,1
samp_store_dur,1067313,1067313,1
samp_store_method_additional,1067313,1067313,1
stationed_sample_dur,1067313,1067313,1
pump_flow_rate,1067313,1067313,1
pump_flow_rate_unit,1067313,1067313,1
prefilter_material,1067313,1067313,1
size_frac_low,1067313,1067313,1
precip_chem_prep,1067313,1067313,1
precip_force_prep,1067313,1067313,1
precip_time_prep,1067313,1067313,1
precip_temp_prep,1067313,1067313,1
prepped_samp_store_dur,1067313,1067313,1
prep_method_additional,1067313,1067313,1
samp_vol_we_dna_ext,1067313,1067313,1
samp_vol_we_dna_ext_unit,1067313,1067313,1
nucl_acid_ext,1067313,1067313,1
nucl_acid_ext_modify,1067313,1067313,1
dna_cleanup_method,1067313,1067313,1
concentration,1067313,1067313,1
concentration_unit,1067313,1067313,1
concentration_method,1067313,1067313,1
ratioOfAbsorbance260_280,1067313,1067313,1
pool_dna_num,1067313,1067313,1
nucl_acid_ext_method_additional,1067313,1067313,1
samp_weather,1067313,1067313,1
elev,1067313,1067313,1
chlorophyll,1067313,1067313,1
light_intensity,1067313,1067313,1
ph,1067313,1067313,1
ph_meth,1067313,1067313,1
salinity,1067313,1067313,1
suspend_part_matter,1067313,1067313,1
turbidity,1067313,1067313,1
water_current,1067313,1067313,1
solar_irradiance,1067313,1067313,1
wind_direction,1067313,1067313,1
diss_inorg_carb,1067313,1067313,1
diss_inorg_carb_unit,1067313,1067313,1
diss_inorg_nitro,1067313,1067313,1
diss_inorg_nitro_unit,1067313,1067313,1
diss_org_carb,1067313,1067313,1
diss_org_carb_unit,1067313,1067313,1
diss_org_nitro,1067313,1067313,1
diss_org_nitro_unit,1067313,1067313,1
diss_oxygen,1067313,1067313,1
diss_oxygen_unit,1067313,1067313,1
tot_diss_nitro,1067313,1067313,1
tot_diss_nitro_unit,1067313,1067313,1
tot_inorg_nitro,1067313,1067313,1
tot_inorg_nitro_unit,1067313,1067313,1
tot_nitro,1067313,1067313,1
tot_nitro_unit,1067313,1067313,1
tot_part_carb,1067313,1067313,1
tot_part_carb_unit,1067313,1067313,1
tot_org_carb,1067313,1067313,1
tot_org_carb_unit,1067313,1067313,1
tot_org_c_meth,1067313,1067313,1
tot_nitro_content,1067313,1067313,1
tot_nitro_content_unit,1067313,1067313,1
tot_nitro_cont_meth,1067313,1067313,1
tot_carb,1067313,1067313,1
tot_carb_unit,1067313,1067313,1
part_org_carb,1067313,1067313,1
part_org_carb_unit,1067313,1067313,1
part_org_nitro,1067313,1067313,1
part_org_nitro_unit,1067313,1067313,1
nitrate,1067313,1067313,1
nitrate_unit,1067313,1067313,1
nitrite,1067313,1067313,1
nitrite_unit,1067313,1067313,1
nitro,1067313,1067313,1
nitro_unit,1067313,1067313,1
org_carb,1067313,1067313,1
org_carb_unit,1067313,1067313,1
org_matter,1067313,1067313,1
org_matter_unit,1067313,1067313,1
org_nitro,1067313,1067313,1
org_nitro_unit,1067313,1067313,1
neg_cont_type,1067313,1067259,0.99994940565701
samp_mat_process,1067313,1062767,0.995740705866039
env_local_scale,1067313,1054100,0.987620313816097
samp_store_loc,1067313,1054100,0.987620313816097
dna_store_loc,1067313,1054100,0.987620313816097
filter_name,1067313,1054100,0.987620313816097
nucl_acid_ext_kit,1067313,1054100,0.987620313816097
digestion_comments,1067313,1054005,0.987531305249725
dna_cleanup_0_1,1067313,1048503,0.982376303858381
samp_store_temp,1067313,1035290,0.969996617674478
samp_store_sol,1067313,1035290,0.969996617674478
extraction_method,1067313,1022307,0.957832425914422
extraction_comments,1067313,1016127,0.952042184438867
prepped_samp_store_temp,1067313,986195,0.923997927505802
prepped_samp_store_sol,1067313,986195,0.923997927505802
digestion_personnel,1067313,968771,0.907672819500934
tidal_stage,1067313,959682,0.899157042029845
temp,1067313,956427,0.896107327466264
extraction_personnel,1067313,936978,0.877884931599259
samp_collect_method,1067313,930739,0.872039411119325
Species.prediction,1067313,832857,0.780330605923473
Genus.prediction,1067313,772706,0.723973192493673
site_comments,1067313,772421,0.723706166794558
Gene,1067313,671312,0.628973881138897
Genus.score,1067313,671312,0.628973881138897
Species.score,1067313,671312,0.628973881138897
verbatimCoordinateSystem,1067313,614753,0.57598192845023
wind_speed,1067313,513401,0.481021968251113
swell_m,1067313,497871,0.466471409980015
digestion_date,1067313,467501,0.438016776709363
date_ext,1067313,446836,0.418655071192799
habitat_natural_artificial_0_1,1067313,436202,0.408691733352822
filter_passive_active_0_1,1067313,417434,0.391107388366861
sampling_comments,1067313,388345,0.363852965343812
domain,1067313,310488,0.290906229006861
phylum,1067313,310488,0.290906229006861
LCA,1067313,310488,0.290906229006861
class,1067313,310485,0.290903418210028
order,1067313,310485,0.290903418210028
family,1067313,310485,0.290903418210028
genus,1067313,310485,0.290903418210028
species,1067313,310485,0.290903418210028
Species_In_LCA,1067313,310485,0.290903418210028
Sources,1067313,310485,0.290903418210028
X.ID,1067313,310485,0.290903418210028
assay_name,1067313,255082,0.238994559234264
tot_depth_water_col,1067313,250070,0.234298654658943
nucl_acid_ext_lysis,1067313,235632,0.220771226434982
nucl_acid_ext_sep,1067313,235632,0.220771226434982
filter_diameter,1067313,215161,0.201591285780273
filter_material,1067313,215161,0.201591285780273
samp_collect_device,1067313,168603,0.157969592799863
geo_loc_name,1067313,136574,0.127960588880675
minimumDepthInMeters,1067313,96612,0.0905189012033021
verbatimEventTime,1067313,84231,0.0789187426743608
size_frac,1067313,78587,0.0736306968995974
samp_size,1067313,50870,0.0476617449614124
samp_size_unit,1067313,50870,0.0476617449614124
biological_rep,1067313,46288,0.0433687212654582
verbatimEventDate,1067313,45195,0.0423446542860436
filter_device,1067313,33912,0.0317732473979048
tube_id,1067313,33075,0.0309890350815553
env_broad_scale,1067313,31793,0.0297878879016746
env_medium,1067313,31793,0.0297878879016746
verbatimLatitude,1067313,31476,0.029490880369676
verbatimLongitude,1067313,31324,0.0293484666634811
maximumDepthInMeters,1067313,9960,0.00933184548487651
decimalLongitude,1067313,6609,0.00619218542264547
decimalLatitude,1067313,6609,0.00619218542264547
site_id,1067313,1282,0.00120114717988069
ASV,1067313,0,0
sample,1067313,0,0
count,1067313,0,0
ASV_sequence,1067313,0,0
samp_category,1067313,0,0
eventDate,1067313,0,0
use_for_filter,1067313,0,0
Voyage,1067313,0,0
Assay,1067313,0,0
Year,1067313,0,0
Location,1067313,0,0
deeporcore,1067313,0,0
Location_Year,1067313,0,0
